Filename,0% Removed,1% Removed,2% Removed,5% Removed,10% Removed,25% Removed,50% Removed
p-0-bucket_s10,0.004411220550537109,0.00491480827331543,0.004711627960205078,0.025484895706176756,0.0029204368591308595,0.0019858360290527345,0.0013733863830566405
p-0-bucket_s13,0.006296539306640625,0.008394384384155273,0.005778264999389648,0.004364967346191406,0.0038518428802490233,0.002701568603515625,0.0018082141876220703
p-0-bucket_s7,0.002212715148925781,0.002813577651977539,0.0030064105987548826,0.0022330284118652344,0.0017253875732421875,0.001199960708618164,0.0008005619049072266
p-1-bucket_s9,0.027373647689819335,0.022186279296875,0.016374969482421876,0.015512800216674805,0.009900188446044922,0.008014822006225586,0.00501704216003418
p-2-bucket_s11,0.008161258697509766,0.011378622055053711,0.009883737564086914,0.007557964324951172,0.006324911117553711,0.00403289794921875,0.0026909828186035155
p-3-bucket_s10,0.016611528396606446,0.022986412048339844,0.013111495971679687,0.011105155944824219,0.008537673950195312,0.0069939613342285155,0.00406489372253418
p-DepotsNum_s8.msat,1.811981201171875e-06,1.7642974853515626e-06,2.002716064453125e-06,1.6689300537109375e-06,2.0503997802734374e-06,2.002716064453125e-06,2.002716064453125e-06
p-driverlogNumeric_s7,0.0008937835693359375,0.0007494449615478516,0.0007510185241699219,0.0008007049560546875,0.0007381916046142578,0.0006289005279541016,0.0004707813262939453
p2-driverlogNumeric_s10,0.0033138275146484377,0.002890777587890625,0.0028844356536865236,0.002822208404541016,0.002782726287841797,0.0024237632751464844,0.001834535598754883
p2-zenonumeric_s6,0.0012292861938476562,0.001431751251220703,0.0012952327728271485,0.0013063907623291015,0.0011885643005371093,0.0009886264801025391,0.0006930828094482422
p3-driverlogNumeric_s8,0.0016852378845214843,0.0018686771392822266,0.0019208908081054688,0.0019394397735595704,0.0019696712493896484,0.001642465591430664,0.001174163818359375
p3-zenonumeric_s5,0.0025550365447998048,0.0026769161224365233,0.002583169937133789,0.0027471542358398437,0.002400970458984375,0.0018708229064941407,0.0014410018920898438
p4-driverlogNumeric_s8,0.0028289318084716796,0.003346157073974609,0.0031832218170166015,0.0031135082244873047,0.0028542041778564452,0.0023670196533203125,0.0017581939697265624
p4-zenonumeric_s5,0.0026325702667236326,0.0028906822204589843,0.002998542785644531,0.0027973175048828123,0.002521657943725586,0.002022409439086914,0.001540994644165039
p5-driverlogNumeric_s8,0.004056453704833984,0.0038821220397949217,0.0038074493408203126,0.003673362731933594,0.003927803039550782,0.003629446029663086,0.002386951446533203
p5-driverlogNumeric_s9,1.9550323486328123e-06,0.003990554809570312,0.003969240188598633,0.00391998291015625,0.003821992874145508,0.0037276744842529297,0.0023795604705810548
p5-zenonumeric_s5,0.0043242454528808595,0.0047703742980957035,0.004452800750732422,0.004252052307128907,0.004040288925170899,0.0033195972442626952,0.002505207061767578
p5-zenonumeric_s7,0.010203266143798828,0.007400226593017578,0.007847213745117187,0.007079792022705078,0.006505441665649414,0.005479764938354492,0.003854990005493164
p6-driverlogNumeric_s5,0.0012516498565673829,0.0013750076293945312,0.001386880874633789,0.0013733863830566405,0.0013405323028564454,0.0011394023895263672,0.0009070396423339844
p6-zenonumeric_s5,0.004105520248413086,0.004781913757324219,0.004454517364501953,0.004676103591918945,0.004566383361816406,0.0038360118865966796,0.002732706069946289
p6-zenonumeric_s7,0.008333253860473632,0.00856003761291504,0.009632444381713868,0.00799260139465332,0.007302093505859375,0.006396722793579101,0.00434269905090332
p6-zenonumeric_s9,0.025820064544677734,0.013077974319458008,0.013172006607055664,0.012044334411621093,0.011905717849731445,0.011408376693725585,0.005876588821411133
p7-driverlogNumeric_s7,0.006403207778930664,0.00455179214477539,0.004589891433715821,0.0047514915466308595,0.0042994022369384766,0.003712034225463867,0.002777576446533203
p7-driverlogNumeric_s8,0.005175495147705078,0.004638385772705078,0.004587554931640625,0.004506301879882812,0.004358053207397461,0.0037488460540771483,0.0028597354888916016
p7-zenonumeric_s6,0.006379127502441406,0.007401418685913086,0.006631612777709961,0.006848049163818359,0.005917787551879883,0.005071830749511719,0.0036565780639648436
